"동별(1)",동별(2),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"동별(1)",동별(2),합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
"동별(1)",동별(2),소계,소계,소계,소계,소계,농업 임업 및 어업,농업 임업 및 어업,광업,광업,제조업,제조업,전기 가스 증기 및 공기조절 공급업,전기 가스 증기 및 공기조절 공급업,수도 하수 및 폐기물 처리 원료 재생업,수도 하수 및 폐기물 처리 원료 재생업,건설업,건설업,도매 및 소매업,도매 및 소매업,운수 및 창고업,운수 및 창고업,숙박 및 음식점업,숙박 및 음식점업,정보통신업,정보통신업,금융 및 보험업,금융 및 보험업,부동산업,부동산업,전문 과학 및 기술 서비스업,전문 과학 및 기술 서비스업,사업시설 관리 사업 지원 및 임대 서비스업,사업시설 관리 사업 지원 및 임대 서비스업,공공행정 국방 및 사회보장 행정,공공행정 국방 및 사회보장 행정,교육 서비스업,교육 서비스업,보건업 및 사회복지 서비스업,보건업 및 사회복지 서비스업,예술 스포츠 및 여가관련 서비스업,예술 스포츠 및 여가관련 서비스업,협회 및 단체 수리 및 기타 개인 서비스업,협회 및 단체 수리 및 기타 개인 서비스업
"동별(1)",동별(2),사업체수 (개),사업체수 (개),종사자수 (명),종사자수 (명),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명)
"동별(1)",동별(2),소계,여성대표자,소계,남,여,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"합계",은평구,36509,14446,109031,51769,57262,4,12,-,-,1510,3502,14,168,22,271,2018,7418,9596,18887,5095,8489,4806,11603,1198,2323,244,2197,2185,4386,1349,3336,906,2961,54,5872,1847,10749,1322,18824,1027,2266,3312,5767
"합계",서대문구,28522,10787,118256,58797,59459,1,2,-,-,1074,2815,11,59,16,598,1670,6176,6936,16293,3414,5616,4450,11961,1305,4812,287,3878,1696,3636,1521,8577,747,5830,44,6013,1405,19646,875,15584,742,1797,2328,4963
"합계",마포구,56782,19865,279788,152822,126966,6,11,2,7,1998,5646,23,465,46,410,2959,19354,12958,41204,3963,11930,9219,25444,5299,51809,814,11301,3526,8552,5086,26062,1907,27412,60,5969,2462,16804,1339,13243,1505,4327,3610,9838
"합계",양천구,37929,14039,133776,70222,63554,1,2,1,1,1583,4648,17,304,30,519,2321,11855,9281,20765,6507,13193,3969,11345,1121,6526,264,2558,1977,4775,1589,4461,860,5853,47,5524,2900,15309,1293,17154,1070,2799,3098,6185
"합계",강서구,58806,19887,290473,164478,125995,5,44,-,-,1965,8338,38,507,69,893,3011,20050,15831,46136,9188,50603,6779,19859,2801,17766,570,5074,3515,8969,3218,31081,1623,21895,61,5236,2505,14779,1735,24758,1479,4024,4413,10461
"합계",구로구,52791,16161,240689,140067,100622,6,18,-,-,4550,17762,23,114,33,386,2633,16888,17126,44216,5498,10873,5006,12922,3704,35997,691,9118,2443,6679,2855,19611,1291,21699,46,5153,1613,11771,1258,18241,1047,2527,2968,6714
"합계",금천구,47964,13700,255449,158019,97430,1,2,-,-,6698,39114,15,102,30,324,2388,17680,13385,42706,3218,8286,3699,9434,5121,45622,393,2824,2627,5065,4410,33793,1310,25400,31,2368,937,6810,763,8866,697,1478,2241,5575
"합계",영등포구,74562,22629,435017,253173,181844,9,17,2,5,4790,13520,52,898,32,496,11080,35411,16947,59798,5793,12445,7658,24467,3903,40909,5739,68996,3699,11668,4836,43419,1946,68242,70,9379,1717,9441,1345,19680,1395,4228,3549,11998
"합계",동작구,27915,10964,109281,54637,54644,4,6,-,-,931,2088,15,156,24,512,1614,5995,7490,15553,2250,3343,4221,10555,1085,6280,235,3524,1954,4782,1213,8221,713,7156,41,4213,1615,13728,1110,16024,916,2052,2484,5093
"합계",관악구,37915,13641,128417,68392,60025,2,18,1,1,1901,4949,20,20,17,260,2275,11754,8953,17796,4490,6446,6144,15419,1358,4936,238,1781,2500,5451,1562,6994,861,6371,50,3809,1596,17130,1257,16081,1286,2954,3404,6247
"합계",서초구,71958,23066,487976,290084,197892,19,86,1,4,1678,6964,44,228,33,428,4234,64933,18027,72744,4352,12744,6685,25797,4952,44909,1647,18770,6132,18373,10997,81598,2145,56765,69,12994,3451,26294,1930,24825,1752,6911,3810,12609
"합계",강남구,110007,35453,801419,447809,353610,27,137,6,15,3027,19410,91,1260,38,1033,3222,51667,26299,157568,3708,12036,12202,50607,9240,97319,4031,37179,11054,39253,15966,133910,3494,78381,58,7471,5459,34053,3522,47080,2579,11059,5984,21981
"합계",송파구,74531,25400,400781,244588,156193,26,241,1,12,2447,10045,72,106,45,655,4706,62020,22908,82988,7834,17149,8220,26618,2916,34164,972,9525,4736,14700,5762,42432,1759,23632,70,8333,3146,19154,2055,30552,2026,7881,4830,10574
"합계",강동구,41660,15226,157465,83415,74050,13,74,1,3,1911,4899,34,59,32,555,2684,20667,11576,28849,5442,9175,5299,13675,1055,3163,368,3127,2575,6052,1542,8550,1118,11594,45,3057,2060,11621,1423,23580,1095,2595,3387,6170
